m_row$$,awg_id,aufwandbedingung,sortier_nr,m_aufwand,m_aufwand_einheit,w_aufwand_von,w_aufwand_bis,w_aufwand_einheit
AAAxbuAAEAAAC92ABZ,007667-60/00-003, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABa,007667-61/00-003, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABb,007667-60/00-004, ,1,1.25,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABc,007667-61/00-004, ,1,1.25,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABd,007667-60/00-009, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABe,007667-61/00-009, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABf,007667-60/00-010, ,1,1.25,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABg,007667-61/00-010, ,1,1.25,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABh,007667-60/00-013, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABi,007667-61/00-013, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABj,007667-60/00-014, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABk,007667-61/00-014, ,1,1.0,LH,200.0,400.0,LH
AAAxbuAAEAAAC92ABl,007667-60/00-015, ,1,0.6,LH,200.0,400.0,LH
AAAxbuAAEAAADBKAAa,034560-79/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAb,034560-80/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAc,034560-81/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAd,034560-83/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAe,034560-84/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAf,034560-85/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAg,034560-86/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAh,034560-87/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAi,034560-88/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAj,034560-89/01-012, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAk,034560-60/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAl,034560-61/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAm,034560-62/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAn,034560-63/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAo,034560-66/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAp,034560-69/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAq,034560-72/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAr,034560-73/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAs,034560-74/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAt,034560-75/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAu,034560-76/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAv,034560-77/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAw,034560-78/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAx,034560-79/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAy,034560-80/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAAz,034560-81/01-013, ,1,1.0,LH,200.0,600.0,LH
AAAxbuAAEAAADBKAA0,034560-83/01-013, ,1,1.0,LH,200.0,600.0,LH
