m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAAm6AAG,024426-64,10061-13360-I-0-WG,2017-12-28T23:00:00Z,Lizetan Raupen- & Zünslerfrei,WG,2026-04-29T22:00:00Z,
AAAxdIAAEAAAAm6AAH,007808-60,10284-00001-W-1-SL,2017-12-28T23:00:00Z,GEXXO,SL,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAm6AAI,025090-61,SYD-90240-F-1-SC,2018-01-01T23:00:00Z,Globaztar AZT 250 SC,SC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAm6AAJ,025090-62,SYD-90240-F-1-SC,2018-01-01T23:00:00Z,Conclude AZT 250 SC,SC,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAm6AAK,006171-64,COM-10605-AI-0-AL;COM-10605-AI-1-AL,2013-06-24T22:00:00Z,COMPO Zierpflanzen-Spray,AL,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAm6AAL,006171-65,COM-10605-AI-0-AL;COM-10605-AI-1-AL,2013-06-24T22:00:00Z,COMPO Orchideen-Spray,AL,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAm6AAM,006220-62,10061-01197-H-0-SC;10061-01197-H-1-SC;10061-03300-H-2-SC,2013-06-24T22:00:00Z,Credence,SC,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAm6AAN,005603-60,10297-00520-A-0-EC;10297-00520-A-1-EC,2015-03-03T23:00:00Z,KOROMITE,EC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAAm6AAO,007777-61,PIN-15565-H-0-CS,2015-06-02T22:00:00Z,CLEMATIS,CS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAm6AAP,007777-62,PIN-15565-H-0-CS,2015-06-02T22:00:00Z,ZENTRIS 360 CS,CS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAm6AAQ,026282-60,NCI-00224-F-0-SC;NCI-00224-F-1-SC,2017-05-22T22:00:00Z,Gachinko,SC,2027-09-14T22:00:00Z,
AAAxdIAAEAAAAm6AAR,024436-74,10061-00001-I-0-EC,2017-05-22T22:00:00Z,CELAFLOR Schädlingsfrei Neem,EC,2028-01-30T23:00:00Z,
AAAxdIAAEAAAAm6AAS,008047-74,CEL-00150-H-0-GR,2017-05-23T22:00:00Z,Cornufera Moosvernichter plus Rasendünger,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAm6AAT,060939-62,NUD-01080-H-3-SL;NUD-01080-H-4-SL,2017-05-23T22:00:00Z,Dicopur M,SL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm6AAU,060939-68,NUD-01080-H-3-SL;NUD-01080-H-4-SL,2017-05-23T22:00:00Z,MCPA 500,SL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm7AAA,060939-69,NUD-01080-H-3-SL;NUD-01080-H-4-SL,2017-05-23T22:00:00Z,Profi MCPA,SL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm7AAB,024780-60,10061-01161-I-1-EC,2017-03-07T23:00:00Z,Spruzit Neu,EC,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAm7AAC,050425-60,DET-13140-P-0-GE,2017-03-07T23:00:00Z,Detia Wühlmausgas,GE,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAm7AAD,050425-61,DET-13140-P-0-GE,2017-03-07T23:00:00Z,Wühlmaus-Gas Arrex,GE,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAm7AAE,025078-60,CHD-96520-H-1-EC,2013-06-03T22:00:00Z,InnoProtect Quantum,EC,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAm7AAF,006986-60,SYD-11660-H-0-WG,2014-06-02T22:00:00Z,ROSAN,WG,2027-06-14T22:00:00Z,
AAAxdIAAEAAAAm7AAG,024847-61,NUD-90970-H-1-EC;10285-90970-H-2-EC,2016-05-12T22:00:00Z,TRIVKO,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAm7AAH,006867-61,SDE-18210-F-0-AL,2013-08-25T22:00:00Z,ETISSO Rosan Pilz-frei AF,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm7AAI,050498-63,SYD-11070-F-2-WG,2015-04-08T22:00:00Z,COMPO Bio Mehltau-frei Thiovit Jet,WG,2026-04-14T22:00:00Z,
AAAxdIAAEAAAAm7AAJ,024602-60,12051-02500-H-0-WG,2013-12-02T23:00:00Z,InnoProtect ARTUS,WG,2026-06-29T22:00:00Z,
AAAxdIAAEAAAAm7AAK,006423-61,HEN-11141-I-1-AE,2014-06-05T22:00:00Z,DEDEVAP plus,AE,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAm7AAL,007507-63,10035-50816-H-0-EW,2014-08-18T22:00:00Z,COMPO Unkrautvernichter Herbistop,EW,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAm7AAM,007507-64,10035-50816-H-0-EW,2014-08-18T22:00:00Z,COMPO Rasen Moos-frei Herbistop,EW,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAm7AAN,007508-62,COM-50809-H-0-AL,2014-08-09T22:00:00Z,COMPO Unkrautvernichter Herbistop AF,AL,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAm7AAO,006867-62,SDE-18210-F-0-AL,2013-11-11T23:00:00Z,Pilzfrei Saprol Rosen AF,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm7AAP,006867-63,SDE-18210-F-0-AL,2013-11-11T23:00:00Z,Pilzfrei Saprol Zierpflanzen AF,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm7AAQ,024345-71,CEL-22222-H-1-AL;CEL-22222-H-2-AL,2014-08-03T22:00:00Z,Naturen Bio Rasen Moosfrei,AL,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAm7AAR,007003-60,DOW-20440-H-0-EC,2014-08-03T22:00:00Z,Garlon,EC,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAm7AAS,050006-60,RAG-19811-F-3-WG,2015-08-30T22:00:00Z,Netz-Schwefelit WG,WG,2026-04-14T22:00:00Z,
AAAxdIAAEAAAAm7AAT,007943-60,GLM-00250-W-0-EC,2014-11-23T23:00:00Z,TRIDUS,EC,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAm8AAA,007839-60,10522-11111-F-0-SL,2017-10-31T23:00:00Z,Frutogard,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAm8AAB,034028-62,BAY-12760-FW-2-EW,2013-10-13T22:00:00Z,Ballet,EW,2027-08-14T22:00:00Z,
