m_row$$,kennr,versuchsbez,zul_erstmalig_am,mittelname,formulierung_art,zul_ende,mittel_mit_geringem_risiko
AAAxdIAAEAAAAmJAAK,008541-00,AIA-40000-F-0-SC,2018-06-17T22:00:00Z,Rival Duo,SC,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmJAAL,008550-00,10297-00256-H-0-ZC,2019-11-26T23:00:00Z,Sinopia,ZC,2027-09-29T22:00:00Z,
AAAxdIAAEAAAAmJAAM,008562-00,BPA-08562-F-0-WG,2018-08-29T22:00:00Z,Vintec,WG,2032-07-05T22:00:00Z,
AAAxdIAAEAAAAmJAAN,008570-00,11661-12015-F-0-SC;11661-12015-F-1-SC,2017-09-17T22:00:00Z,SINSTAR,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmJAAO,008582-00,SHP-14003-H-0-SG,2018-03-21T23:00:00Z,CLAP FORTE,SG,2026-04-29T22:00:00Z,
AAAxdIAAEAAAAmJAAP,008589-00,SYD-31160-I-0-WG,2019-12-17T23:00:00Z,Minecto One,WG,2027-09-13T22:00:00Z,
AAAxdIAAEAAAAmJAAQ,008595-00,11490-00003-F-0-WG,2020-10-11T22:00:00Z,AFRASA TRIPLE WG,WG,2026-02-14T23:00:00Z,
AAAxdIAAEAAAAmJAAR,008603-00,SYD-31160-I-0-WG,2019-02-14T23:00:00Z,MAINSPRING,WG,2027-09-13T22:00:00Z,
AAAxdIAAEAAAAmJAAS,008616-00,CEL-16881-AI-0-AL,2018-09-26T22:00:00Z,Schädlingsfrei Forte,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAmJAAT,008627-00,ZCS-11115-H-0-EC,2019-02-20T23:00:00Z,Trepach,EC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmJAAU,008628-00,COM-10703-I-0-EC,2018-12-03T23:00:00Z,COM 107 03 AI EC,EC,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAmKAAA,008629-00,COM-10704-I-0-AL,2018-12-16T23:00:00Z,COM 107 04 AI AL,AL,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAmKAAB,008632-00,12563-00001-F-0-SL,2020-08-30T22:00:00Z,FBR-C,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAmKAAC,008633-00,12226-45000-H-0-EC,2023-09-27T22:00:00Z,Gentis,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAmKAAD,008646-00,14107-22180-H-0-WG,2025-07-03T22:00:00Z,Valdor Trio,WG,2028-02-29T23:00:00Z,
AAAxdIAAEAAAAmKAAE,008647-00,BAS-71700-F-0-SC,2019-01-16T23:00:00Z,Dagonis,SC,2026-05-30T22:00:00Z,
AAAxdIAAEAAAAmKAAF,008649-00,ADD-94710-F-0-SC,2025-09-08T22:00:00Z,VINERGY,SC,2026-10-31T23:00:00Z,
AAAxdIAAEAAAAmKAAG,008650-00,BAS-18102-F-0-SL,2019-12-02T23:00:00Z,Soriale,SL,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAmKAAH,008652-00,VXT-12015-H-0-SC,2018-11-28T23:00:00Z,VextaMitron 700 SC,SC,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmKAAI,008659-00,SCF-22000-F-0-SC,2017-12-21T23:00:00Z,S-2200 25SC,SC,2026-12-08T23:00:00Z,
AAAxdIAAEAAAAmKAAJ,008660-00,AAP-10001-H-0-EC,2024-08-29T22:00:00Z,EVOLUTION,EC,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmKAAK,008662-00,ISK-05411-F-0-SC,2019-12-12T23:00:00Z,Kenja,SC,2027-09-14T22:00:00Z,
AAAxdIAAEAAAAmKAAL,008663-00,ISK-05411-F-0-SC,2019-10-06T22:00:00Z,Kenja,SC,2027-09-14T22:00:00Z,
AAAxdIAAEAAAAmKAAM,008664-00,12463-08001-W-0-SL,2018-07-30T22:00:00Z,GRASSROOTER,SL,2026-09-29T22:00:00Z,
AAAxdIAAEAAAAmKAAN,008670-00,SHA-38001-H-0-EC,2018-09-02T22:00:00Z,FREQUENT,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmKAAO,008673-00,CAG-71023-F-0-EC,2020-03-10T23:00:00Z,Spirox,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmKAAP,008674-00,10539-00125-F-0-ME,2020-06-03T22:00:00Z,EMINENT 125 ME,ME,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmKAAQ,008675-00,ZAK-92010-H-0-EW,2018-10-11T22:00:00Z,HAKSAR Ultra 260 EW,EW,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAmKAAR,008692-00,11706-00001-W-0-HN,2018-03-15T23:00:00Z,"1,4SIGHT",HN,2028-11-29T23:00:00Z,
AAAxdIAAEAAAAmKAAS,008694-00,SDE-20150-I-0-PR,2018-12-19T23:00:00Z,Lizetan Plus Combistäbchen,PR,2026-12-08T23:00:00Z,
AAAxdIAAEAAAAmKAAT,008695-00,12120-00410-F-0-WG,2023-09-12T22:00:00Z,COPFORCE EXTRA,WG,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmLAAA,008966-00,10020-65000-F-0-SC,2019-07-15T22:00:00Z,Enervin SC,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmLAAB,008967-00,NUD-02702-F-0-SC;10285-02702-F-1-SC,2018-01-31T23:00:00Z,Azbany,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmLAAC,008975-00,10661-17859-H-1-EC,2020-10-25T23:00:00Z,Fidox,EC,2027-10-30T22:00:00Z,
AAAxdIAAEAAAAmLAAD,008981-00,GLM-08981-H-0-EC,2018-03-06T23:00:00Z,FLUROSTAR 200,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAmLAAE,008984-00,10661-08984-H-0-SC,2019-11-26T23:00:00Z,TORSO,SC,2027-07-30T22:00:00Z,
AAAxdIAAEAAAAmLAAF,008986-00,OXO-50815-I-0-GR,2023-05-09T22:00:00Z,ERCOLE,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmLAAG,008989-00,ACP-00700-F-0-SC,2019-10-13T22:00:00Z,Helioterpen Schwefel,SC,2026-04-14T22:00:00Z,
AAAxdIAAEAAAAmLAAH,008990-00,GLM-08990-F-0-SC,2018-07-10T22:00:00Z,GLOBAZTAR SC,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmLAAI,008996-00,LIF-11119-H-0-WG,2018-08-22T22:00:00Z,NIANTIC,WG,2026-06-29T22:00:00Z,
AAAxdIAAEAAAAmLAAJ,008997-00,10297-03990-F-0-SC,2021-11-24T23:00:00Z,VOYAGER,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmLAAK,008998-00,11657-08998-W-0-OD,2019-01-28T23:00:00Z,FABULIS OD,OD,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmLAAL,00A001-00,12761-17041-I-0-SL,2021-12-12T23:00:00Z,Sanium SL25,SL,2026-12-08T23:00:00Z,
AAAxdIAAEAAAAmLAAM,00A003-00,CEL-00484-I-0-EC,2018-10-08T22:00:00Z,Schädlingsfrei Forte Konzentrat,EC,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAmLAAN,00A004-00,CEL-00484-I-0-EC,2018-11-19T23:00:00Z,Schädlingsfrei Forte Konzentrat,EC,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAmLAAO,00A015-00,NUD-05376-H-0-WG,2018-08-29T22:00:00Z,Saracen Max,WG,2026-10-30T23:00:00Z,
AAAxdIAAEAAAAmLAAP,00A021-00,NUD-00021-H-0-SL,2018-09-09T22:00:00Z,Duplosan Super,SL,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmLAAQ,00A022-00,SCF-30193-W-0-SG,2020-03-19T23:00:00Z,Proliant,SG,2026-07-14T22:00:00Z,
AAAxdIAAEAAAAmLAAR,00A023-00,VAB-00001-V-0-SC,2019-02-14T23:00:00Z,V10,SC,2033-03-28T22:00:00Z,
AAAxdIAAEAAAAmLAAS,00A024-00,FIC-00001-F-0-SC,2020-07-02T22:00:00Z,Fluazinova,SC,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmLAAT,00A031-00,SBM-06025-I-0-EC,2020-10-06T22:00:00Z,SHERPA DUO,EC,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAmMAAA,008698-00,ZCS-54321-H-0-OD,2019-02-20T23:00:00Z,STRETCH,OD,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmMAAB,008716-00,BTL-00410-F-0-SU,2017-11-13T23:00:00Z,Dutch Trig,SU,2026-04-29T22:00:00Z,
AAAxdIAAEAAAAmMAAC,008719-00,NEU-01137-A-0-EC,2019-09-03T22:00:00Z,Promanal Agro,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmMAAD,008745-00,11490-00004-F-0-SC,2018-09-25T22:00:00Z,LEGADO,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmMAAE,008748-00,BAS-72800-F-0-FS,2019-04-23T22:00:00Z,Rubin Plus,FS,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmMAAF,008772-00,PSZ-33401-H-0-SL,2018-07-31T22:00:00Z,Barca 334 SL,SL,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmMAAG,008773-00,GRW-08773-W-0-AL,2017-09-12T22:00:00Z,CLONEX,AL,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmMAAH,008778-00,DOW-03447-H-0-EC,2019-02-20T23:00:00Z,Belkar,EC,2026-08-04T22:00:00Z,
AAAxdIAAEAAAAmMAAI,008791-00,RHI-08791-W-0-AP,2017-09-12T22:00:00Z,"Rhizopon AA 0,5% Pulver",AP,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmMAAJ,008792-00,PLP-08792-H-0-EC,2018-01-17T23:00:00Z,BUGUIS,EC,2026-04-29T22:00:00Z,
AAAxdIAAEAAAAmMAAK,008793-00,RHI-08793-W-0-AP,2017-09-12T22:00:00Z,Rhizopon AA 2% Pulver,AP,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmzAAQ,005747-62,10130-71376-H-0-SL;10130-71376-H-1-SL,2010-02-09T23:00:00Z,Bayer Garten Universal-Rasenunkrautfrei Loredo Quattro,SL,2026-05-14T22:00:00Z,
AAAxdIAAEAAAAmzAAR,005945-61,ISK-09506-H-0-OD;ISK-09506-H-1-OD,2008-10-21T22:00:00Z,MILAGRO forte,OD,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAmzAAS,024345-69,CEL-22222-H-1-AL;CEL-22222-H-2-AL,2011-11-23T23:00:00Z,Naturen Bio Moosfrei,AL,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmzAAT,024345-70,CEL-22222-H-1-AL;CEL-22222-H-2-AL,2011-11-23T23:00:00Z,Naturen Bio Unkrautfrei,AL,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAm0AAA,024213-68,CEL-11112-AI-1-EW,2009-12-09T23:00:00Z,Naturen Bio-Schildlausfrei,EW,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAm0AAB,005747-60,10130-71376-H-0-SL;10130-71376-H-1-SL,2008-05-25T22:00:00Z,Rasenfreund Dicotex,SL,2026-05-14T22:00:00Z,
AAAxdIAAEAAAAm0AAC,005747-61,10130-71376-H-0-SL;10130-71376-H-1-SL,2008-05-25T22:00:00Z,CELAFLOR RASEN-UNKRAUTFREI WEEDEX,SL,2026-05-14T22:00:00Z,
AAAxdIAAEAAAAm0AAD,005686-60,CEL-26521-I-1-SL,2007-08-07T22:00:00Z,Klick&GO Schädlingsfrei Careo Konzentrat,SL,2026-01-30T23:00:00Z,
AAAxdIAAEAAAAm0AAE,033141-61,HEN-11112-I-1-KN,2007-06-10T22:00:00Z,microsol-pyrho-fluid,KN,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAm0AAF,033141-62,HEN-11112-I-1-KN,2007-06-10T22:00:00Z,Aco.sol PY-Z,KN,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAm0AAG,006275-60,THG-50202-H-0-GR,2010-04-19T22:00:00Z,COMPO Floranid Rasendünger mit Moosvernichter,GR,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAm0AAH,006408-60,HEN-11140-I-1-AE,2010-06-23T22:00:00Z,microsol-bio-autofog,AE,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAm0AAI,005958-60,BAS-45538-H-1-CS,2007-07-02T22:00:00Z,Stomp Raps,CS,2026-06-29T22:00:00Z,
AAAxdIAAEAAAAm0AAJ,006177-60,NEU-01171-H-0-AL,2008-11-04T23:00:00Z,Finalsan AF Gierschfrei,AL,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAm0AAK,006220-60,10061-01197-H-0-SC;10061-01197-H-1-SC;10061-03300-H-2-SC,2010-06-21T22:00:00Z,GROOVE,SC,2027-01-30T23:00:00Z,
AAAxdIAAEAAAAm0AAL,006914-60,HEL-20001-H-0-EC,2012-08-15T22:00:00Z,GALARANE,EC,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAm0AAM,006766-60,SFS-21842-H-0-SC,2011-01-05T23:00:00Z,STEMAT,SC,2026-10-30T23:00:00Z,
AAAxdIAAEAAAAm0AAN,033366-60,CFW-11980-R-2-RB,2011-08-15T22:00:00Z,Wühlmausköder Arrex,RB,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAm0AAO,006366-60,NUD-20065-H-0-WG;10285-20065-H-1-WG,2011-05-24T22:00:00Z,Fussa,WG,2027-01-14T23:00:00Z,
AAAxdIAAEAAAAm0AAP,007402-60,14223-10001-M-0-RB,2017-02-19T23:00:00Z,Xiren,RB,2027-12-30T23:00:00Z,
AAAxdIAAEAAAAm0AAQ,006240-60,CEL-51201-H-0-EW,2012-07-03T22:00:00Z,Celaflor Rasen-Unkrautfrei Anicon Ultra,EW,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm0AAR,006239-60,CEL-51202-H-0-AL,2012-07-03T22:00:00Z,Celaflor Rasen-Unkrautfrei Anicon Ultra Spray,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm0AAS,006867-60,SDE-18210-F-0-AL,2012-04-26T22:00:00Z,Bayer Garten Rosen-Pilzfrei Spray Baymat Plus,AL,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAm1AAA,028938-00,10039-03488-H-0-EC,2023-08-09T22:00:00Z,Korvetto,EC,2026-08-04T22:00:00Z,
AAAxdIAAEAAAAm1AAB,028956-00,10539-12019-F-0-WG,2024-01-09T23:00:00Z,BADGE WG,WG,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAm1AAC,028972-00,10539-12019-F-0-SC,2024-01-04T23:00:00Z,Grifon SC,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmeAAG,00A633-00,12463-43071-H-0-WG,2025-03-31T22:00:00Z,PRIMARY MX,WG,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmeAAH,00A634-00,12463-66001-W-0-WP,2020-09-30T22:00:00Z,MONEX,WP,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmeAAI,00A636-00,12463-72001-F-0-WG,2020-09-27T22:00:00Z,ROYALTY,WG,2027-04-14T22:00:00Z,
AAAxdIAAEAAAAmeAAJ,00A637-00,10130-00637-H-0-SC,2021-01-11T23:00:00Z,Target SC,SC,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmeAAK,00A639-00,13047-00004-I-0-EC,2020-12-20T23:00:00Z,POLUX,EC,2027-08-14T22:00:00Z,
AAAxdIAAEAAAAmeAAL,00A640-00,10062-31741-H-0-EC,2023-01-02T23:00:00Z,BRIXTON,EC,2027-05-30T22:00:00Z,
AAAxdIAAEAAAAmeAAM,00A642-00,12463-11003-H-0-SL,2020-10-28T23:00:00Z,SHYFO,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAmeAAN,00A644-00,10661-00644-F-0-SC,2023-04-05T22:00:00Z,Narita XL,SC,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmeAAO,00A649-00,12463-96001-H-0-SC,2022-08-09T22:00:00Z,ECLAIRE,SC,2027-10-30T22:00:00Z,
AAAxdIAAEAAAAmeAAP,00A653-00,12769-15161-F-0-SC,2022-08-25T22:00:00Z,DIFAZ,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmeAAQ,00A655-00,11831-92010-F-0-SC,2025-01-27T23:00:00Z,Starjet 250 SC,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmeAAR,00A657-00,14019-00657-F-0-EC,2020-12-09T23:00:00Z,Teko 250,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmeAAS,00A658-00,10607-21380-F-0-SC,2024-03-25T23:00:00Z,AMISTAR MAX,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmeAAT,00A659-00,12463-58003-H-0-CS,2020-11-08T23:00:00Z,PRIZE,CS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmeAAU,00A662-00,11177-03401-F-0-GR,2020-12-02T23:00:00Z,Xilon,GR,2026-10-30T23:00:00Z,
AAAxdIAAEAAAAmfAAA,00A670-00,12051-86100-I-0-SC,2022-02-15T23:00:00Z,Exirel,SC,2027-09-13T22:00:00Z,
AAAxdIAAEAAAAmfAAB,00A677-00,12463-26005-H-0-CS,2023-10-31T23:00:00Z,PENSHUI,CS,2028-01-14T23:00:00Z,
AAAxdIAAEAAAAmfAAC,00A678-00,10607-96430-F-0-EC,2022-07-24T22:00:00Z,GRETEG,EC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmfAAD,00A679-00,10035-50824-H-0-EC,2024-01-08T23:00:00Z,COM 508 24 H EC,EC,2027-11-30T23:00:00Z,
AAAxdIAAEAAAAmfAAE,00A680-00,10607-21030-F-3-SL,2025-07-09T22:00:00Z,Fonganil Gold,SL,2036-05-30T22:00:00Z,
AAAxdIAAEAAAAmfAAF,00A685-00,10039-03967-H-0-WG,2023-03-07T23:00:00Z,GF-3967,WG,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmfAAG,00A689-00,13670-00001-E-0-AE,2021-02-10T23:00:00Z,SemiosNET-Codling Moth,AE,2026-08-30T22:00:00Z,
AAAxdIAAEAAAAmfAAH,00A693-00,12463-16891-F-0-SC,2022-06-15T22:00:00Z,SUPRAX,SC,2027-03-14T23:00:00Z,
AAAxdIAAEAAAAmfAAI,00A695-00,10020-65700-F-0-SC,2025-07-09T22:00:00Z,ENERVIN Pro,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmfAAJ,00A699-00,11490-00699-F-0-EC,2022-10-11T22:00:00Z,EUSKATEL,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmfAAK,00A701-00,12463-46001-I-0-GR,2022-08-10T22:00:00Z,SoilGuard 0.5 GR,GR,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmfAAL,00A702-00,10661-00702-F-0-WG,2021-08-02T22:00:00Z,Bigalo,WG,2026-09-14T22:00:00Z,
AAAxdIAAEAAAAmfAAM,00A705-00,12463-57001-F-0-EC,2021-04-06T22:00:00Z,PRIDE,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmfAAN,00A711-00,12970-00001-H-0-SC,2022-02-02T23:00:00Z,Matrican 100 SC,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAAmfAAO,00A722-00,10020-70005-F-0-FS,2021-08-30T22:00:00Z,Systiva,FS,2026-05-30T22:00:00Z,
AAAxdIAAEAAAAmfAAP,00A730-00,10039-04320-H-0-WG,2025-12-15T23:00:00Z,Fencade,WG,2028-09-29T22:00:00Z,
AAAxdIAAEAAAAmfAAQ,00A742-00,10285-00003-I-0-SL,2024-05-07T22:00:00Z,Carnadine,SL,2034-02-27T23:00:00Z,
AAAxdIAAEAAAAmfAAR,00A752-00,10091-00001-F-0-SC,2022-08-08T22:00:00Z,Rosenpilzfrei SAPROL N Konzentrat,SC,2026-04-14T22:00:00Z,
AAAxdIAAEAAAAmfAAS,00A755-00,11654-20191-F-0-EC,2021-11-24T23:00:00Z,CLAYTON TUSKAR,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmfAAT,00A756-00,12463-40002-H-0-EW,2021-05-16T22:00:00Z,SUNDA,EW,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmfAAU,00A758-00,11900-12346-F-0-SC,2022-05-10T22:00:00Z,DODIFUN SC,SC,2027-07-14T22:00:00Z,
AAAxdIAAEAAAAmgAAA,00B178-00,10661-02106-F-0-SC,2025-01-19T23:00:00Z,Revus Pro,SC,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmgAAB,00B181-00,11654-22247-H-0-EC,2023-10-08T22:00:00Z,Clayton Docker,EC,2027-03-30T22:00:00Z,
AAAxdIAAEAAAAmgAAC,00B182-00,10661-20020-F-0-SC,2024-11-28T23:00:00Z,Firuza,SC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmgAAD,00B183-00,10285-00011-H-0-SL,2024-02-29T23:00:00Z,Clinic Xtreme,SL,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAmgAAE,00B184-00,10039-03206-H-0-EC,2025-07-02T22:00:00Z,Rinpode,EC,2030-07-23T22:00:00Z,
AAAxdIAAEAAAAmgAAF,00B185-00,12947-00001-W-0-SL,2024-02-27T23:00:00Z,Floralife Tulipa,SL,2026-11-14T23:00:00Z,
AAAxdIAAEAAAAmgAAG,00B186-00,10903-20186-W-0-SL,2024-02-27T23:00:00Z,Floralife Bulb 100,SL,2027-07-14T22:00:00Z,
AAAxdIAAEAAAAmgAAH,00B187-00,12463-20003-F-0-SC,2024-01-21T23:00:00Z,PHILLIP 50,SC,2026-02-14T23:00:00Z,
AAAxdIAAEAAAAmgAAI,00B189-00,10661-01927-H-0-EC,2024-04-17T22:00:00Z,Sedim 120,EC,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmgAAJ,00B190-00,10730-11870-M-0-RB,2024-01-04T23:00:00Z,Sluggo PRO,RB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAAmgAAK,00B192-00,12463-10601-F-0-EC,2024-02-22T23:00:00Z,TRUST,EC,2027-10-14T22:00:00Z,
AAAxdIAAEAAAAmgAAL,00B195-00,13411-00010-F-0-SC,2026-01-11T23:00:00Z,Acustic,SC,2027-07-14T22:00:00Z,
AAAxdIAAEAAAAmgAAM,00B198-00,12226-02443-M-0-GB,2024-02-08T23:00:00Z,ARINEX 30,GB,2027-08-30T22:00:00Z,
AAAxdIAAEAAAAmgAAN,00B202-00,10285-08117-H-0-SC,2024-06-12T22:00:00Z,Starship 100 SC,SC,2033-05-30T22:00:00Z,
AAAxdIAAEAAAAmgAAO,00B203-00,14313-00001-W-0-GE,2024-02-12T23:00:00Z,Ethy-Gen II,GE,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmgAAP,00B213-00,10661-10045-H-0-SE,2024-02-05T23:00:00Z,Overtake,SE,2028-02-14T23:00:00Z,
AAAxdIAAEAAAAmgAAQ,00B214-00,13428-20214-F-0-WP,2025-03-20T23:00:00Z,Tricoten WP,WP,2039-02-19T23:00:00Z,J
AAAxdIAAEAAAAmgAAR,00B216-00,10607-23473-I-0-SC,2025-10-12T22:00:00Z,LANZARTA,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmgAAS,00B217-00,10661-11600-H-0-SC,2024-03-04T23:00:00Z,Rapsan 500,SC,2027-10-30T22:00:00Z,
AAAxdIAAEAAAAmgAAT,00B221-00,10020-75210-F-0-SC,2025-08-24T22:00:00Z,Ambrilia,SC,2028-10-30T23:00:00Z,
AAAxdIAAEAAAAmgAAU,00B222-00,12463-03003-W-0-EC,2024-02-12T23:00:00Z,TRINEXT,EC,2027-07-30T22:00:00Z,
AAAxdIAAEAAAAmhAAA,00B223-00,13263-05210-H-0-WG,2025-10-13T22:00:00Z,JOYSTICK,WG,2027-01-14T23:00:00Z,
AAAxdIAAEAAAAmhAAB,00B225-00,13559-00002-F-0-EC,2024-04-28T22:00:00Z,ARAGON,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmhAAC,00B226-00,10661-00363-F-0-EC,2024-02-29T23:00:00Z,Padelli,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmhAAD,00B229-00,12522-20229-F-0-WG,2025-03-25T23:00:00Z,LALSTOP G46 WG,WG,2035-03-30T22:00:00Z,J
AAAxdIAAEAAAAmhAAE,00B230-00,12463-14800-H-0-SC,2024-04-21T22:00:00Z,EMPEROR,SC,2027-10-30T22:00:00Z,
AAAxdIAAEAAAAmhAAF,00B235-00,10130-09928-H-2-SC,2024-05-15T22:00:00Z,Colzamid,SC,2028-03-30T22:00:00Z,
AAAxdIAAEAAAAmhAAG,00B237-00,12463-46005-I-0-CS,2024-01-25T23:00:00Z,FANCY,CS,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmhAAH,00B242-00,13006-20095-F-0-SC,2024-10-08T22:00:00Z,PANTHA,SC,2028-05-30T22:00:00Z,
AAAxdIAAEAAAAmhAAI,00B243-00,12970-20243-W-0-EC,2024-04-17T22:00:00Z,Regullo Twist 250 EC,EC,2026-12-14T23:00:00Z,
AAAxdIAAEAAAAmhAAJ,00B244-00,12970-20244-F-0-EC,2024-07-14T22:00:00Z,Protikon 250 EC,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmhAAK,00B250-00,11654-22231-H-0-SC,2024-04-25T22:00:00Z,Clayton Neutron,SC,2027-11-29T23:00:00Z,
AAAxdIAAEAAAAmhAAL,00B252-00,12970-20252-F-0-SC,2024-08-27T22:00:00Z,Claro 375 SC,SC,2028-03-30T22:00:00Z,
AAAxdIAAEAAAAmhAAM,00B253-00,11654-22250-I-0-SC,2024-04-03T22:00:00Z,CLAYTON RELIC,SC,2026-03-14T23:00:00Z,
AAAxdIAAEAAAAmhAAN,00B254-00,10130-20254-F-0-EC,2024-10-14T22:00:00Z,Patton Pro,EC,2026-08-14T22:00:00Z,
AAAxdIAAEAAAAmhAAO,00B258-00,10130-17039-H-0-SC,2024-05-29T22:00:00Z,DIRECTOR,SC,2031-12-30T23:00:00Z,
AAAxdIAAEAAAAmhAAP,00B260-00,12463-10503-M-0-GB,2024-02-22T23:00:00Z,FIRST,GB,2031-12-30T23:00:00Z,
AAAxdIAAEAAAAmhAAQ,00B264-00,10130-54292-H-0-CS,2024-06-20T22:00:00Z,Cresendo,CS,2026-06-14T22:00:00Z,
AAAxdIAAEAAAAmhAAR,00B266-00,10020-74303-F-0-SC,2025-07-28T22:00:00Z,Divexo,SC,2026-12-30T23:00:00Z,
AAAxdIAAEAAAAmhAAS,00B269-00,12463-55001-I-0-SG,2024-07-01T22:00:00Z,ASSET,SG,2034-02-27T23:00:00Z,
AAAxdIAAEAAAAmhAAT,00B272-00,10021-21510-F-0-EC,2024-07-18T22:00:00Z,Cayunis,EC,2026-05-30T22:00:00Z,
AAAxdIAAEAAAAmhAAU,00B275-00,13263-32000-F-0-WG,2024-10-01T22:00:00Z,ANTEVA,WG,2027-10-31T23:00:00Z,
AAAxdIAAEAAAAmiAAA,00B276-00,12902-12023-F-0-SC,2026-01-07T23:00:00Z,Arouet® K-Plus,SC,2030-07-30T22:00:00Z,
AAAxdIAAEAAAAmiAAB,00B282-00,13611-12023-F-0-SP,2024-08-29T22:00:00Z,NatriSan,SP,2036-09-30T22:00:00Z,J
AAAxdIAAEAAAAmiAAC,00B289-00,11831-20289-H-0-SC,2024-10-09T22:00:00Z,Juzan Extra 100 SC,SC,2033-05-30T22:00:00Z,
