m_row$$,awg_id,schadorg,ausgenommen,sortier_nr
AAAxcCAAEAAADXcAAu,025287-67/00-012,PYRNTE,N,1.0
AAAxcCAAEAAADXcAAv,025287-60/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAAw,025287-61/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAAx,025287-62/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAAy,025287-63/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAAz,025287-64/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAA0,025287-65/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAA1,025287-66/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAA2,025287-67/00-013,RHYNSE,N,1.0
AAAxcCAAEAAADXcAA3,025287-60/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA4,025287-61/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA5,025287-62/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA6,025287-63/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA7,025287-64/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA8,025287-65/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA9,025287-66/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA+,025287-67/00-014,PSDCHE,N,1.0
AAAxcCAAEAAADXcAA/,025287-60/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABA,025287-61/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABB,025287-62/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABC,025287-63/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABD,025287-64/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABE,025287-65/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABF,025287-66/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABG,025287-67/00-015,ERYSGR,N,1.0
AAAxcCAAEAAADXcABH,025287-60/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABI,025287-61/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABJ,025287-62/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABK,025287-63/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABL,025287-64/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABM,025287-65/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABN,025287-66/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABO,025287-67/00-016,PUCCRE,N,1.0
AAAxcCAAEAAADXcABP,025287-60/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABQ,025287-61/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABR,025287-62/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABS,025287-63/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABT,025287-64/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABU,025287-65/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABV,025287-66/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABW,025287-67/00-017,RHYNSE,N,1.0
AAAxcCAAEAAADXcABX,025287-60/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABY,025287-61/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABZ,025287-62/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABa,025287-63/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABb,025287-64/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABc,025287-65/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABd,025287-66/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABe,025287-67/00-018,SEPTSP,N,1.0
AAAxcCAAEAAADXcABf,025287-60/00-019,SCLESC,N,1.0
AAAxcCAAEAAADXcABg,025287-61/00-019,SCLESC,N,1.0
AAAxcCAAEAAADXcABh,025287-62/00-019,SCLESC,N,1.0
AAAxcCAAEAAADXcABi,025287-63/00-019,SCLESC,N,1.0
AAAxcCAAEAAADXcABj,025287-64/00-019,SCLESC,N,1.0
AAAxcCAAEAAADXcABk,025287-65/00-019,SCLESC,N,1.0
AAAxcCAAEAAADXcABl,025287-66/00-019,SCLESC,N,1.0
AAAxcCAAEAAADXcABm,025287-67/00-019,SCLESC,N,1.0
