m_row$$,awg_id,kultur,ausgenommen,sortier_nr
AAAxb2AAEAAADR+ACJ,060122-66/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACK,060122-67/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACL,060122-68/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACM,060122-69/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACN,060122-70/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACO,060122-71/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACP,060122-72/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACQ,060122-73/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACR,060122-74/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACS,060122-75/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACT,060122-76/00-002,NNNZW,N,1.0
AAAxb2AAEAAADR+ACU,060122-77/00-002,NNNZW,N,1.0
AAAxb2AAEAAAARTAAZ,00A818-00/00-001,BEAVA,N,1.0
AAAxb2AAEAAAARTAAa,00A818-00/00-001,BEAVC,N,2.0
AAAxb2AAEAAAARTAAb,00A818-00/00-002,BEAVA,N,1.0
AAAxb2AAEAAAARTAAc,00A818-00/00-002,BEAVC,N,2.0
AAAxb2AAEAAAARTAAd,00A117-00/00-018,RAPSR,N,2.0
AAAxb2AAEAAAARTAAe,00A117-00/00-018,RAPSN,N,1.0
AAAxb2AAEAAAARTAAf,00A117-00/00-019,FRAAN,N,1.0
AAAxb2AAEAAAARTAAg,00A117-00/00-021,NNNOO,N,2.0
AAAxb2AAEAAAARTAAh,00A117-00/00-021,NNNZZ,N,3.0
AAAxb2AAEAAAARTAAi,00A117-00/00-021,NNNVV,N,1.0
AAAxb2AAEAAAARTAAj,00A117-00/00-022,NNNZW,N,1.0
AAAxb2AAEAAAARTAAk,00A117-00/00-024,VITVI,N,1.0
AAAxb2AAEAAAARTAAl,00A117-00/00-025,VITVI,N,1.0
AAAxb2AAEAAAARTAAm,00A117-00/00-026,NNNOK,N,1.0
AAAxb2AAEAAAARTAAn,00A117-00/00-026,ABOME,J,2.0
AAAxb2AAEAAAARTAAo,00A117-00/00-026,NNNOS,N,3.0
AAAxb2AAEAAAARTAAp,00A117-00/00-026,IUGRE,N,4.0
AAAxb2AAEAAAARTAAq,00A117-00/00-027,NNNZZ,N,2.0
AAAxb2AAEAAAARTAAr,00A117-00/00-028,VACSS,N,7.0
AAAxb2AAEAAAARTAAs,00A117-00/00-028,RUBID,N,2.0
AAAxb2AAEAAAARTAAt,00A117-00/00-028,RIBNI,N,3.0
AAAxb2AAEAAAARTAAu,00A117-00/00-028,RIBRU,N,4.0
AAAxb2AAEAAAARTAAv,00A117-00/00-028,RIBRW,N,5.0
AAAxb2AAEAAAARTAAw,00A117-00/00-028,RIBUC,N,6.0
AAAxb2AAEAAAARTAAx,00A117-00/00-028,RUBFR,N,1.0
AAAxb2AAEAAAARTAAy,00A117-00/00-029,FRAAN,N,1.0
AAAxb2AAEAAAARTAAz,00A117-00/00-030,CUUPG,N,2.0
AAAxb2AAEAAAARTAA0,00A117-00/00-030,CUUMX,N,3.0
AAAxb2AAEAAAARTAA1,00A117-00/00-030,CUUMO,N,4.0
AAAxb2AAEAAAARTAA2,00A117-00/00-030,CUMSA,N,1.0
AAAxb2AAEAAAARTAA3,00A117-00/00-030,CUUPM,N,3.0
AAAxb2AAEAAAARTAA4,00A117-00/00-030,CUUPE,N,4.0
AAAxb2AAEAAAARTAA5,00A117-00/00-031,NNNKB,N,4.0
AAAxb2AAEAAAARTAA6,00A117-00/00-032,SPQOL,N,6.0
